name,number,sex,year
Sofia,190,Female,2020
Max,211,Male,2020
Scarlett,179,Female,2020
Archer,209,Male,2020
Ellie,171,Female,2020
Sebastian,205,Male,2020
Emma,170,Female,2020
Arlo,194,Male,2020
Frankie,166,Female,2020
Logan,193,Male,2020
Abigail,164,Female,2020
Muhammad,190,Male,2020
Isabelle,164,Female,2020
Finn,190,Male,2020
Florence,157,Female,2020
Xavier,183,Male,2020
Eva,151,Female,2020
Ryan,182,Male,2020
Violet,151,Female,2020
Edward,182,Male,2020
Emilia,150,Female,2020
Arthur,181,Male,2020
Elsie,141,Female,2020
Jayden,180,Male,2020
Eleanor,140,Female,2020
Jackson,176,Male,2020
Aurora,139,Female,2020
Joshua,175,Male,2020
Penelope,137,Female,2020
Daniel,175,Male,2020
Jasmine,136,Female,2020
Joseph,173,Male,2020
Poppy,135,Female,2020
Adam,171,Male,2020
Alice,133,Female,2020
Kai,171,Male,2020
Freya,132,Female,2020
Jordan,171,Male,2020
Maya,131,Female,2020
Riley,165,Male,2020
Bonnie,131,Female,2020
Eli,164,Male,2020
Stella,127,Female,2020
Louis,163,Male,2020
Luna,124,Female,2020
Aiden,161,Male,2020
Ayla,123,Female,2020
Jasper,158,Male,2020
Billie,121,Female,2020
Austin,154,Male,2020
Elizabeth,119,Female,2020
Gabriel,150,Male,2020
Mackenzie,118,Female,2020
Beau,149,Male,2020
Lola,114,Female,2020
Michael,147,Male,2020
Eloise,113,Female,2020
Lincoln,143,Male,2020
Harriet,112,Female,2020
Flynn,142,Male,2020
Savannah,112,Female,2020
Ali,142,Male,2020
Aaliyah,111,Female,2020
Carter,141,Male,2020
Rose,111,Female,2020
Connor,130,Male,2020
Piper,110,Female,2020
Charles,128,Male,2020
Daisy,108,Female,2020
Sonny,128,Male,2020
Lara,106,Female,2020
Spencer,128,Male,2020
Millie,106,Female,2020
Jaxon,124,Male,2020
Hallie,105,Female,2020
Zachary,124,Male,2020
Elena,103,Female,2020
Ashton,120,Male,2020
Ariana,101,Female,2020
Jude,117,Male,2020
Sarah,101,Female,2020
Patrick,116,Male,2020
Sadie,101,Female,2020
Luke,116,Male,2020
Anna,100,Female,2020
Matthew,116,Male,2020
Remi,99,Female,2020
Owen,116,Male,2020
Phoebe,97,Female,2020
Isaiah,113,Male,2020
Olive,96,Female,2020
Nicholas,111,Male,2020
Imogen,95,Female,2020
Luka,111,Male,2020
Eliana,94,Female,2020
Leonardo,110,Male,2020
Harlow,90,Female,2020
Christian,109,Male,2020
Annabelle,89,Female,2020
Angus,107,Male,2020
Molly,89,Female,2020
Marcus,107,Male,2020
Bella,88,Female,2020
Bodhi,106,Male,2020
Addison,86,Female,2020
Theo,104,Male,2020
Summer,84,Female,2020
Leon,103,Male,2020
Clara,82,Female,2020
Asher,103,Male,2020
Claire,81,Female,2020
Jake,103,Male,2020
Eliza,81,Female,2020
Axel,103,Male,2020
Maddison,80,Female,2020
Caleb,102,Male,2020
Gabriella,80,Female,2020
Ryder,102,Male,2020
Zoey,79,Female,2020
Dylan,100,Male,2020
Delilah,79,Female,2020
Dominic,99,Male,2020
Isabel,77,Female,2020
Ari,99,Male,2020
Charlie,76,Female,2020
Elias,98,Male,2020
Eden,76,Female,2020
Felix,96,Male,2020
Adeline,76,Female,2020
Vincent,96,Male,2020
Maeve,76,Female,2020
Lennox,96,Male,2020
Chelsea,74,Female,2020
Anthony,96,Male,2020
Maryam,74,Female,2020
Oliver,641,Male,2019
Charlotte,504,Female,2019
Noah,573,Male,2019
Olivia,483,Female,2019
William,531,Male,2019
Amelia,467,Female,2019
Jack,468,Male,2019
Mia,465,Female,2019
Leo,444,Male,2019
Isla,408,Female,2019
Lucas,418,Male,2019
Ava,392,Female,2019
Henry,376,Male,2019
Chloe,353,Female,2019
Thomas,370,Male,2019
Grace,323,Female,2019
James,363,Male,2019
Sophia,319,Female,2019
Liam,357,Male,2019
Ella,310,Female,2019
Ethan,355,Male,2019
Isabella,302,Female,2019
Alexander,339,Male,2019
Zoe,299,Female,2019
Elijah,333,Male,2019
Willow,295,Female,2019
Charlie,327,Male,2019
Harper,295,Female,2019
Harrison,296,Male,2019
Sophie,270,Female,2019
Hudson,296,Male,2019
Matilda,270,Female,2019
Theodore,292,Male,2019
Evelyn,263,Female,2019
Isaac,289,Male,2019
Ruby,259,Female,2019
Hunter,275,Male,2019
Ivy,258,Female,2019
Harry,271,Male,2019
Evie,248,Female,2019
Levi,269,Male,2019
Lily,243,Female,2019
Archie,265,Male,2019
Sienna,241,Female,2019
Jacob,261,Male,2019
Emily,238,Female,2019
Oscar,260,Male,2019
Aria,237,Female,2019
Samuel,258,Male,2019
Mila,232,Female,2019
Max,253,Male,2019
Audrey,218,Female,2019
Cooper,249,Male,2019
Abigail,209,Female,2019
Mason,239,Male,2019
Georgia,208,Female,2019
Luca,232,Male,2019
Lucy,204,Female,2019
Harvey,230,Male,2019
Zara,198,Female,2019
George,226,Male,2019
Scarlett,188,Female,2019
Lachlan,223,Male,2019
Eva,186,Female,2019
Sebastian,223,Male,2019
Hannah,183,Female,2019
Joshua,217,Male,2019
Ellie,181,Female,2019
Benjamin,216,Male,2019
Sofia,179,Female,2019
Ryan,214,Male,2019
Layla,172,Female,2019
Xavier,208,Male,2019
Frankie,169,Female,2019
Daniel,199,Male,2019
Hazel,166,Female,2019
Hugo,196,Male,2019
Alice,156,Female,2019
Adam,189,Male,2019
Emma,155,Female,2019
Jayden,189,Male,2019
Isabelle,154,Female,2019
Logan,189,Male,2019
Luna,149,Female,2019
Louis,187,Male,2019
Emilia,149,Female,2019
Arlo,186,Male,2019
Elsie,142,Female,2019
Muhammad,184,Male,2019
Violet,139,Female,2019
Finn,180,Male,2019
Eleanor,138,Female,2019
Jackson,179,Male,2019
Elizabeth,136,Female,2019
Archer,176,Male,2019
Penelope,131,Female,2019
Edward,172,Male,2019
Freya,131,Female,2019
Jasper,170,Male,2019
Florence,129,Female,2019
Arthur,166,Male,2019
Maya,126,Female,2019
Austin,165,Male,2019
Aurora,125,Female,2019
Michael,165,Male,2019
Stella,121,Female,2019
Kai,164,Male,2019
Mackenzie,120,Female,2019
Joseph,158,Male,2019
Poppy,116,Female,2019
Riley,156,Male,2019
Elena,112,Female,2019
Ashton,155,Male,2019
Jasmine,111,Female,2019
Connor,154,Male,2019
Phoebe,110,Female,2019
Eli,154,Male,2019
Billie,110,Female,2019
Aiden,151,Male,2019
Ariana,109,Female,2019
Jaxon,147,Male,2019
Annabelle,109,Female,2019
Carter,145,Male,2019
