First Name,Amount,Position
"RAYMOND","2","=600"
"REID","2","=600"
"REMMY","2","=600"
"RENN","2","=600"
"REX","2","=600"
"RHETT","2","=600"
"RICKY","2","=600"
"RIHAAN","2","=600"
"RION","2","=600"
"RISHAAN","2","=600"
"ROBERTO","2","=600"
"ROCKY","2","=600"
"RONALD","2","=600"
"RONIN","2","=600"
"RONNY","2","=600"
"ROYCE","2","=600"
"RUDRANSH","2","=600"
"RUDY","2","=600"
"SAIGE","2","=600"
"SALAR","2","=600"
"SAMRAT","2","=600"
"SAVERIO","2","=600"
"SAWYER","2","=600"
"SAXON","2","=600"
"SEBASTIANO","2","=600"
"SETH","2","=600"
"SHAHMEER","2","=600"
"SHANE","2","=600"
"SHAYAN","2","=600"
"SHEHBAAZ","2","=600"
"SHEPHERD","2","=600"
"SHILOH","2","=600"
"SHLOK","2","=600"
"SHRIYAN","2","=600"
"SHUBMAN","2","=600"
"SID","2","=600"
"SINA","2","=600"
"SIRAJ","2","=600"
"SKYLER","2","=600"
"SULLY","2","=600"
"TADHG","2","=600"
"TAHA","2","=600"
"TANISH","2","=600"
"TARIQ","2","=600"
"TEGHVEER","2","=600"
"TEVITA","2","=600"
"THIAGO","2","=600"
"THIEN","2","=600"
"TOMAS","2","=600"
"TRISTAN","2","=600"
"TROY","2","=600"
"TY","2","=600"
"TYRON","2","=600"
"TYRONE","2","=600"
"VAN","2","=600"
"VICTOR","2","=600"
"VIHAAN","2","=600"
"VIRAJ","2","=600"
"VYOUM","2","=600"
"WALLY","2","=600"
"WINDSOR","2","=600"
"WOODROW","2","=600"
"YASIR","2","=600"
"YAZAN","2","=600"
"YUVANSH","2","=600"
"ZAC","2","=600"
"ZADE","2","=600"
"ZAKAI","2","=600"
"ZAKARIAH","2","=600"
"ZAKARIYA","2","=600"
"ZAYAAN","2","=600"
"ZAYLEN","2","=600"
"ZEBEDEE","2","=600"
"ZIAH","2","=600"
"AADHI","1","=912"
"AADHIREN","1","=912"
"AADHISH","1","=912"
"AADHVAN","1","=912"
"AADIR","1","=912"
"AADISH","1","=912"
"AADITYA","1","=912"
"AAGAT","1","=912"
"AAGAZ","1","=912"
"AAHAN","1","=912"
"AAIDYN","1","=912"
"AALAYAN","1","=912"
"AALIYAN","1","=912"
"AAMIR","1","=912"
"AARIQ","1","=912"
"AARIZ","1","=912"
"AASHUTOSH","1","=912"
"AATHITHYEN","1","=912"
"AAVASH","1","=912"
"AAVI","1","=912"
"AAVYAAN","1","=912"
"AAWYD","1","=912"
"ABASIEDI-IMA","1","=912"
"ABDUL","1","=912"
"ABDULLATIF","1","=912"
"ABDULRAHMAN","1","=912"
"ABHIJEET","1","=912"
"ABHIR","1","=912"
"ABIR","1","=912"
"ABNER","1","=912"
"ABUBAKAR","1","=912"
"ACESON","1","=912"
"ADABDEEP","1","=912"
"ADDISON","1","=912"
"ADEEB","1","=912"
"ADEEN","1","=912"
"ADEN","1","=912"
"ADHIRAJ","1","=912"
"ADLER","1","=912"
"ADLEY","1","=912"
"ADON","1","=912"
"ADONAIZI","1","=912"
"ADONIAS","1","=912"
"ADRIN","1","=912"
"ADVAIT","1","=912"
"ADVAY","1","=912"
"ADVEEK","1","=912"
"ADVICK","1","=912"
"ADWAIT","1","=912"
"AERAJ","1","=912"
"AFOLABI","1","=912"
"AGAMINDER","1","=912"
"AGAMJOT","1","=912"
"AGASTYA","1","=912"
"AGUER","1","=912"
"AGUSTYA","1","=912"
"AHERLOW","1","=912"
"AHMAD","1","=912"
"AHMED","1","=912"
"AHRA","1","=912"
"AHSAN","1","=912"
"AIMAN","1","=912"
"AIVARS","1","=912"
"AIVEN","1","=912"
"AIZEN","1","=912"
"AJEET","1","=912"
"AJIL","1","=912"
"AJRAWAR","1","=912"
"AJU","1","=912"
"AKETH","1","=912"
"AKHANDDEEP","1","=912"
"AKIHITO","1","=912"
"AKOI","1","=912"
"AKOON","1","=912"
"AKSHIV","1","=912"
"AKUDZWE","1","=912"
"AKUEIN","1","=912"
"AL","1","=912"
"ALAKAI","1","=912"
"ALAKHAII","1","=912"
"ALARIC","1","=912"
"ALASDAIR","1","=912"
"ALASTER","1","=912"
"ALAZAR","1","=912"
"ALBEE","1","=912"
"ALDIN","1","=912"
"ALEKAI","1","=912"
"ALEKSANDAR","1","=912"
"ALEKSEY","1","=912"
"ALEKSI","1","=912"
"ALEKSIJE","1","=912"
"ALESSI","1","=912"
"ALEXEI","1","=912"
"ALEXY","1","=912"
"ALHAJI","1","=912"
"ALINOTI","1","=912"
"ALIYAN","1","=912"
"ALIZAE","1","=912"
"ALSTON","1","=912"
"ALULA","1","=912"
"ALVAN","1","=912"
"ALVI","1","=912"
"ALVIN","1","=912"
"ALVISE","1","=912"
"ALWISH","1","=912"
"ALYAS","1","=912"
"AMAN","1","=912"
"AMANI","1","=912"
"AMARE","1","=912"
"AMAY","1","=912"
"AMAZIAH","1","=912"
"AMIAS","1","=912"
"AMIEL","1","=912"
"AMIRI","1","=912"
"AMMAR","1","=912"
"AMMONIHAH","1","=912"
"AMRIT","1","=912"
"ANAAD","1","=912"
"ANAHAD","1","=912"
"ANAKIN","1","=912"
"ANANDBIR","1","=912"
"ANANT","1","=912"
"ANANTH","1","=912"
"ANAS","1","=912"
"ANASTASI","1","=912"
"ANDERS","1","=912"
"ANDERSON","1","=912"
"ANDHREI","1","=912"
"ANDREA","1","=912"
"ANEJ","1","=912"
"ANGEL","1","=912"
