Given Name,Number,Position
AMEERA,1,839
AMELIA-ROSE,1,839
AMELIAH,1,839
AMELIAH-ROSE,1,839
AMELIIA,1,839
AMEN,1,839
AMETHYST,1,839
AMEYAA,1,839
AMIA,1,839
AMILEE,1,839
AMILIA,1,839
AMINA,1,839
AMINATA,1,839
AMITIEL,1,839
AMITRIS,1,839
AMIYAH-MAE,1,839
AMORISSA,1,839
AMRIN,1,839
AMRIT,1,839
AMUOR,1,839
AMYRA,1,839
AMYRAH,1,839
AN-NHI,1,839
ANAAYAH,1,839
ANABELLE,1,839
ANAHI,1,839
ANAIRA,1,839
ANANYA,1,839
ANARI,1,839
ANASTAZYA,1,839
ANAYAH,1,839
ANDIALYSE,1,839
ANDRA,1,839
ANDREA,1,839
ANDRIANA,1,839
ANEIKA,1,839
ANELLA,1,839
ANGELIKA,1,839
ANGELINE,1,839
ANGELY,1,839
ANIA,1,839
ANJALI,1,839
ANJALINA,1,839
ANN,1,839
ANNA-JANE,1,839
ANNA-LYNE,1,839
ANNABELLE-JOY,1,839
ANNABETH,1,839
ANNALEECE,1,839
ANNALIES,1,839
ANNASHREYA,1,839
ANNASTACIA,1,839
ANNATALIA,1,839
ANNELIESE,1,839
ANNI,1,839
ANNICA,1,839
ANNIEKAH,1,839
ANNUNZIATA,1,839
ANNY,1,839
ANOUK,1,839
ANRAN,1,839
ANTONIA,1,839
ANUSHA,1,839
ANUSHKA,1,839
ANVI,1,839
ANYIEL,1,839
APARAJITA,1,839
APARNA,1,839
APHIAH,1,839
APRYL,1,839
ARA,1,839
ARABELLE,1,839
ARAIANA,1,839
ARAYA,1,839
ARCADIA,1,839
ARDEA,1,839
AREEBA,1,839
AREEBAH,1,839
AREEJ,1,839
AREEN,1,839
ARGIRO,1,839
ARHLIYA,1,839
ARI,1,839
ARIA-LEE,1,839
ARIA-LISABETH,1,839
ARIANAH,1,839
ARIANE,1,839
ARIB,1,839
ARIBAH,1,839
ARIE,1,839
ARIELA,1,839
ARIELLA,1,839
ARIJA,1,839
ARIN,1,839
ARISHA,1,839
ARITRI,1,839
ARLA,1,839
ARLA-MAE,1,839
ARLAN,1,839
ARLEI,1,839
ARLIA,1,839
ARLIAH,1,839
ARLYN,1,839
ARMANI,1,839
ARNA,1,839
ARNAAZ,1,839
ARNMARLEY,1,839
AROOSHA,1,839
ARORA,1,839
ARRIKA,1,839
ARROW,1,839
ARSHAH,1,839
ARSHEYA,1,839
ARTEMIS,1,839
ARVEER,1,839
ARWEN,1,839
ARYAHI,1,839
ARYANA,1,839
ARYANNAH,1,839
ARZOI,1,839
ASCHA,1,839
ASEDA,1,839
ASFA,1,839
ASHIMA,1,839
ASHLYNN,1,839
ASHLYNNE,1,839
ASHREET,1,839
ASIFA,1,839
ASIYAH,1,839
ASLI,1,839
ASMA,1,839
ASMAA,1,839
ASNA,1,839
ASPEN,1,839
ASTA,1,839
ASTER,1,839
ASTRA,1,839
ATARAH,1,839
ATHIENG,1,839
ATOCH,1,839
ATONG,1,839
AUBREE-MAE,1,839
AUBURN,1,839
AUDRINA,1,839
AUGUSTA,1,839
AULBREY,1,839
