"","name","number","sex","year"
"792","Ashleigh",8,"Female",2003
"793","Madison",8,"Female",2003
"794","Olivia",8,"Female",2003
"795","Joshua",38,"Male",2002
"796","Jack",31,"Male",2002
"797","Thomas",29,"Male",2002
"798","Ethan",28,"Male",2002
"799","Liam",27,"Male",2002
"800","Jacob",24,"Male",2002
"801","Matthew",22,"Male",2002
"802","Mitchell",20,"Male",2002
"803","Lachlan",19,"Male",2002
"804","Daniel",17,"Male",2002
"805","Ryan",16,"Male",2002
"806","Jake",15,"Male",2002
"807","David",14,"Male",2002
"808","Michael",14,"Male",2002
"809","Samuel",14,"Male",2002
"810","Aaron",13,"Male",2002
"811","Benjamin",13,"Male",2002
"812","Caleb",13,"Male",2002
"813","Dylan",12,"Male",2002
"814","Alex",11,"Male",2002
"815","Chloe",23,"Female",2002
"816","Jessica",22,"Female",2002
"817","Emma",14,"Female",2002
"818","Grace",14,"Female",2002
"819","Sarah",13,"Female",2002
"820","Shakira",14,"Female",2002
"821","Emily",13,"Female",2002
"822","Amy",12,"Female",2002
"823","Hannah",12,"Female",2002
"824","Hayley",12,"Female",2002
"825","Jasmine",11,"Female",2002
"826","Madison",11,"Female",2002
"827","Georgia",10,"Female",2002
"828","Ella",9,"Female",2002
"829","Lucy",9,"Female",2002
"830","Maria",9,"Female",2002
"831","Samantha",9,"Female",2002
"832","Caitlin",8,"Female",2002
"833","Charlotte",8,"Female",2002
"834","Danielle",8,"Female",2002
"835","Daniel",38,"Male",1980
"836","Andrew",28,"Male",1980
"837","David",27,"Male",1980
"838","Michael",25,"Male",1980
"839","Matthew",24,"Male",1980
"840","Jason",22,"Male",1980
"841","Adam",21,"Male",1980
