Name,Sex,Year,Count
PAUL,Male,1983,230
SANDRA,Female,1960,230
AARON,Male,1986,229
AARON,Male,1991,229
EMMA,Female,2005,229
GRACE,Female,2002,229
HANNAH,Female,2005,229
ISABELLA,Female,2001,229
JASON,Male,1989,229
JORDAN,Male,2001,229
KEVIN,Male,1960,229
KYLIE,Female,1981,229
MITCHELL,Male,2002,229
CRAIG,Male,1966,228
LAUREN,Female,1987,228
LEANNE,Female,1961,228
MICHELLE,Female,1983,228
SAMANTHA,Female,1998,228
STEPHEN,Male,1973,228
TANYA,Female,1973,228
EMMA,Female,2002,227
HANNAH,Female,1992,227
LACHLAN,Male,1993,227
PAUL,Male,1982,227
RILEY,Male,2003,227
THOMAS,Male,1986,227
ALEXANDER,Male,1999,226
GEORGIA,Female,2005,226
JOHN,Male,1985,226
MIA,Female,2005,226
RYAN,Male,1985,226
SHANE,Male,1964,226
SOPHIE,Female,2002,226
WILLIAM,Male,1961,226
ANDREW,Male,1995,225
BRADLEY,Male,1969,225
IAN,Male,1968,225
JOHN,Male,1976,225
LISA,Female,1980,225
MICHAEL,Male,2000,225
TIMOTHY,Male,1993,225
TRACEY,Female,1964,225
WILLIAM,Male,1997,225
AMY,Female,1993,224
BRADLEY,Male,1964,224
CHRISTOPHER,Male,1965,224
RILEY,Male,2002,224
TIMOTHY,Male,1978,224
TROY,Male,1972,224
HANNAH,Female,1994,223
JAMES,Male,1960,223
JAMES,Male,1961,223
JESSE,Male,1997,223
KEVIN,Male,1962,223
NATHAN,Male,1977,223
NATHAN,Male,1999,223
RYAN,Male,1988,223
SAMANTHA,Female,1997,223
STEPHEN,Male,1975,223
CAMERON,Male,1994,222
COURTNEY,Female,1998,222
EMMA,Female,1981,222
GRACE,Female,2001,222
JAMES,Male,1969,222
JAYDEN,Male,2004,222
JULIE,Female,1973,222
KEVIN,Male,1964,222
MARK,Male,1986,222
MICHELLE,Female,1961,222
RYAN,Male,1984,222
SHANE,Male,1963,222
TRACEY,Female,1966,222
CATHERINE,Female,1961,221
DAVID,Male,1994,221
HANNAH,Female,1991,221
LAUREN,Female,1986,221
LAUREN,Female,1988,221
LISA,Female,1973,221
OLIVIA,Female,1999,221
STEPHEN,Male,1974,221
WAYNE,Male,1971,221
ANDREW,Male,1996,220
CRAIG,Male,1964,220
DEBORAH,Female,1967,220
EMMA,Female,1982,220
LAUREN,Female,1990,220
LISA,Female,1978,220
RYAN,Male,1982,220
STEPHANIE,Female,1993,220
STEVEN,Male,1960,220
CATHERINE,Female,1962,219
HAYDEN,Male,1997,219
JENNIFER,Female,1970,219
OLIVIA,Female,2000,219
ROBYN,Female,1963,219
SHANE,Male,1980,219
WILLIAM,Male,1995,219
JAMES,Male,1964,218
JAMES,Male,1967,218
JAMES,Male,1975,218
KELLY,Female,1982,218
LILY,Female,2004,218
LISA,Female,1975,218
RICHARD,Male,1971,218
RICHARD,Male,1972,218
RILEY,Male,2001,218
ROBERT,Male,1990,218
BAILEY,Male,2002,217
BRADLEY,Male,1968,217
EMMA,Female,1985,217
HANNAH,Female,1990,217
JAMES,Male,1978,217
JORDAN,Male,2003,217
LISA,Female,1981,217
TANYA,Female,1971,217
ANTHONY,Male,1984,216
ASHLEIGH,Female,1988,216
BRADLEY,Male,1982,216
BRENDAN,Male,1984,216
CHRISTOPHER,Male,1962,216
GRACE,Female,2005,216
GREGORY,Male,1969,216
JACKSON,Male,2001,216
JAMES,Male,1965,216
NICHOLAS,Male,1981,216
SARAH,Female,1979,216
STEPHEN,Male,1976,216
TRACEY,Female,1963,216
TRACEY,Female,1973,216
WAYNE,Male,1967,216
JESSE,Male,1995,215
LEANNE,Female,1966,215
LISA,Female,1982,215
ANGELA,Female,1978,214
EMMA,Female,1983,214
JAMES,Male,1977,214
JOHN,Male,1986,214
JUDITH,Female,1961,214
KYLIE,Female,1985,214
PETER,Male,1986,214
STEPHANIE,Female,1995,214
ADAM,Male,1991,213
ASHLEIGH,Female,1994,213
DEBRA,Female,1964,213
DONNA,Female,1960,213
JAYDEN,Male,2005,213
JENNIFER,Female,1968,213
JORDAN,Male,1992,213
MARGARET,Female,1960,213
MITCHELL,Male,2003,213
NICOLE,Female,1987,213
SARAH,Female,1978,213
TANYA,Female,1975,213
TROY,Male,1971,213
AARON,Male,1992,212
ANTHONY,Male,1985,212
BRANDON,Male,1997,212
BRETT,Male,1975,212
ELLA,Female,2001,212
JAMES,Male,1974,212
LAUREN,Female,1985,212
LISA,Female,1977,212
SHARON,Female,1961,212
WENDY,Female,1963,212
CATHERINE,Female,1965,211
GEORGIA,Female,1995,211
JAMES,Male,1970,211
REBECCA,Female,1974,211
ROSS,Male,1960,211
SAMUEL,Male,1987,211
ANTHONY,Male,1986,210
BAILEY,Male,2003,210
GEORGIA,Female,1996,210
MADISON,Female,2001,210
NICHOLAS,Male,1980,210
REBECCA,Female,1995,210
WAYNE,Male,1968,210
ANGELA,Female,1977,209
HANNAH,Female,1993,209
KYLIE,Female,1987,209
LINDA,Female,1962,209
WILLIAM,Male,1960,209
AARON,Male,1978,208
BRADLEY,Male,1967,208
BRETT,Male,1976,208
ETHAN,Male,1999,208
HANNAH,Female,1997,208
