"","name","number","sex","year"
"595","Brooklyn",60,"Female",2021
"596","Heidi",58,"Female",2021
"597","Aubrey",58,"Female",2021
"598","Lillian",57,"Female",2021
"599","Maggie",57,"Female",2021
"600","Rose",56,"Female",2021
"601","Oliver",525,"Male",2020
"602","Noah",383,"Male",2020
"603","Jack",324,"Male",2020
"604","William",322,"Male",2020
"605","Henry",307,"Male",2020
"606","Theodore",283,"Male",2020
"607","Elijah",273,"Male",2020
"608","Leo",267,"Male",2020
"609","Thomas",266,"Male",2020
"610","Hudson",263,"Male",2020
"611","Charlie",252,"Male",2020
"612","Archie",244,"Male",2020
"613","Harrison",222,"Male",2020
"614","Levi",221,"Male",2020
"615","Lucas",213,"Male",2020
"616","Hunter",213,"Male",2020
"617","Cooper",211,"Male",2020
"618","Archer",208,"Male",2020
"619","Oscar",206,"Male",2020
"620","Alexander",197,"Male",2020
"621","James",190,"Male",2020
"622","Lincoln",187,"Male",2020
"623","Mason",182,"Male",2020
"624","Arlo",178,"Male",2020
"625","Liam",176,"Male",2020
"626","Arthur",167,"Male",2020
"627","George",162,"Male",2020
"628","Lachlan",160,"Male",2020
"629","Harvey",157,"Male",2020
"630","Hugo",156,"Male",2020
"631","Ethan",155,"Male",2020
"632","Luca",154,"Male",2020
"633","Benjamin",154,"Male",2020
"634","Finn",150,"Male",2020
"635","Jackson",139,"Male",2020
"636","Sebastian",136,"Male",2020
"637","Harry",136,"Male",2020
"638","Xavier",135,"Male",2020
"639","Max",135,"Male",2020
"640","Eli",134,"Male",2020
"641","Samuel",133,"Male",2020
"642","Carter",130,"Male",2020
"643","Edward",112,"Male",2020
"644","Patrick",111,"Male",2020
"645","Flynn",107,"Male",2020
"646","Kai",107,"Male",2020
"647","Jacob",104,"Male",2020
"648","Spencer",103,"Male",2020
"649","Riley",103,"Male",2020
"650","Theo",101,"Male",2020
"651","Connor",99,"Male",2020
"652","Louis",96,"Male",2020
"653","Joshua",96,"Male",2020
"654","Joseph",95,"Male",2020
"655","Owen",94,"Male",2020
"656","Grayson",94,"Male",2020
"657","Isaac",93,"Male",2020
"658","Austin",93,"Male",2020
"659","Ryan",90,"Male",2020
"660","Parker",90,"Male",2020
"661","Braxton",89,"Male",2020
"662","Ezra",88,"Male",2020
"663","Wyatt",87,"Male",2020
"664","Sonny",87,"Male",2020
"665","Jaxon",87,"Male",2020
"666","Jasper",87,"Male",2020
"667","Fletcher",87,"Male",2020
"668","Michael",86,"Male",2020
"669","Beau",86,"Male",2020
"670","Angus",85,"Male",2020
"671","Asher",85,"Male",2020
"672","Ryder",84,"Male",2020
"673","Jordan",83,"Male",2020
"674","Charles",83,"Male",2020
"675","Ashton",83,"Male",2020
"676","Daniel",83,"Male",2020
"677","Jayden",79,"Male",2020
"678","Darcy",78,"Male",2020
"679","Nate",75,"Male",2020
"680","Luke",74,"Male",2020
"681","Hamish",73,"Male",2020
"682","Tyler",70,"Male",2020
"683","Phoenix",70,"Male",2020
"684","Maverick",70,"Male",2020
"685","Ari",70,"Male",2020
"686","Frederick",67,"Male",2020
"687","Caleb",67,"Male",2020
"688","Lennox",66,"Male",2020
"689","Billy",66,"Male",2020
"690","Alfie",66,"Male",2020
"691","River",65,"Male",2020
"692","Lewis",65,"Male",2020
"693","Leonardo",64,"Male",2020
"694","Matthew",64,"Male",2020
"695","Luka",64,"Male",2020
"696","Gabriel",64,"Male",2020
"697","Aiden",64,"Male",2020
"698","Vincent",63,"Male",2020
"699","Felix",63,"Male",2020
"700","Blake",63,"Male",2020
"701",NA,NA,"Male",2020
"702",NA,NA,"Male",2020
"703","Charlotte",359,"Female",2020
"704","Olivia",320,"Female",2020
"705","Isla",319,"Female",2020
"706","Amelia",295,"Female",2020
"707","Mia",256,"Female",2020
"708","Ava",247,"Female",2020
"709","Harper",227,"Female",2020
"710","Willow",226,"Female",2020
"711","Grace",222,"Female",2020
"712","Sophie",206,"Female",2020
"713","Ivy",205,"Female",2020
"714","Isabella",204,"Female",2020
"715","Evelyn",189,"Female",2020
"716","Ella",189,"Female",2020
"717","Evie",189,"Female",2020
"718","Matilda",187,"Female",2020
"719","Lily",187,"Female",2020
"720","Ruby",179,"Female",2020
"721","Lucy",173,"Female",2020
"722","Chloe",173,"Female",2020
"723","Sophia",162,"Female",2020
"724","Frankie",154,"Female",2020
"725","Violet",142,"Female",2020
"726","Mila",142,"Female",2020
"727","Emily",138,"Female",2020
"728","Zoe",137,"Female",2020
"729","Hannah",137,"Female",2020
"730","Georgia",136,"Female",2020
"731","Freya",130,"Female",2020
"732","Elsie",128,"Female",2020
"733","Hazel",128,"Female",2020
"734","Layla",127,"Female",2020
"735","Aria",125,"Female",2020
"736","Scarlett",124,"Female",2020
"737","Audrey",124,"Female",2020
"738","Mackenzie",122,"Female",2020
"739","Ellie",121,"Female",2020
"740","Aurora",121,"Female",2020
"741","Alice",120,"Female",2020
"742","Isabelle",119,"Female",2020
"743","Abigail",116,"Female",2020
"744","Sienna",114,"Female",2020
"745","Luna",114,"Female",2020
"746","Florence",108,"Female",2020
"747","Penelope",105,"Female",2020
"748","Poppy",104,"Female",2020
"749","Addison",102,"Female",2020
"750","Eleanor",98,"Female",2020
"751","Zara",96,"Female",2020
